time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
4.139883,-0.015752,0.027724
4.144882,-0.018462,0.028408
4.149882,-0.011307,0.027724
4.154881,-0.013552,0.028408
4.159881,-0.015210,0.027724
4.164881,-0.016389,0.028408
4.169880,-0.019986,0.027724
4.174880,-0.022113,0.028408
4.179880,-0.021877,0.027724
4.184879,-0.023580,0.028408
4.189879,-0.026348,0.027724
4.194879,-0.029834,0.028408
4.199878,-0.030646,0.027724
4.204878,-0.032656,0.028408
4.209877,-0.030786,0.027724
4.214877,-0.032748,0.028408
4.219877,-0.027848,0.027724
4.224876,-0.029662,0.028408
4.229876,-0.024546,0.027724
4.234876,-0.026081,0.028408
4.239875,-0.018248,0.027724
4.244875,-0.019413,0.028408
4.249875,-0.009729,0.027724
4.254874,-0.011442,0.028408
4.259874,0.003865,0.027724
4.264874,0.002002,0.028408
4.269873,-0.004724,0.027724
4.274873,-0.005555,0.028408
4.279872,-0.015994,0.027724
4.284872,-0.017844,0.028408
4.289872,-0.003889,0.027724
4.294871,-0.001318,0.028408
4.299871,0.014361,0.027724
4.304871,0.014672,0.028408
4.309870,0.017291,0.027724
4.314870,0.021914,0.028408
4.319870,0.013628,0.027724
4.324869,0.010212,0.028408
4.329869,0.011933,0.027724
4.334868,0.015244,0.028408
4.339868,0.023262,0.027724
4.344868,0.022197,0.028408
4.349867,0.034382,0.027724
4.354867,0.031409,0.028408
4.359867,0.024530,0.027724
4.364866,0.025463,0.028408
4.369866,0.026647,0.027724
4.374866,0.027733,0.028408
4.379865,0.026729,0.027724
4.384865,0.025250,0.028408
4.389864,0.026109,0.027724
4.394864,0.025513,0.028408
4.399864,0.022268,0.027724
4.404863,0.022956,0.028408
4.409863,0.024052,0.027724
4.414863,0.025484,0.028408
4.419862,0.030153,0.027724
4.424862,0.028736,0.028408
4.429862,0.045524,0.027724
4.434861,0.046926,0.028408
4.439861,0.041356,0.027724
4.444860,0.042979,0.028408
4.449860,0.044207,0.027724
